,,,,,,,,,,
Time,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
411,0.67,0.61,0.61,1.69,0.59,2.17,2.36,2.41,2.46,0.63
412,0.65,0.6,0.62,2.07,0.61,2.22,2.36,2.46,2.49,0.62
413,0.67,0.6,0.64,1.68,0.62,2.29,2.48,2.58,2.49,0.6
414,0.66,0.61,0.64,1.62,0.63,2.17,2.4,2.5,2.46,0.64
415,0.65,0.6,0.63,1.78,0.61,2.15,2.49,2.52,2.44,0.65
416,0.66,0.6,0.59,1.99,0.63,2.09,2.42,2.5,2.41,0.65
417,0.67,0.6,0.62,1.74,0.63,2.19,2.51,2.59,2.53,0.65
418,0.67,0.6,0.63,1.6,0.63,2.17,2.36,2.47,2.42,0.65
419,0.65,0.61,0.63,1.91,0.59,2.19,2.3,2.46,2.44,0.64
420,0.67,0.6,0.62,1.65,0.61,2.14,2.4,2.45,2.52,0.62
421,0.66,0.6,0.63,1.67,0.63,2.25,2.35,2.42,2.53,0.64
422,0.65,0.6,0.63,1.83,0.62,2.24,2.38,2.42,2.57,0.65
423,0.65,0.58,0.63,1.91,0.62,2.1,2.39,2.4,2.67,0.65
424,0.67,0.61,0.62,1.71,0.63,2.17,2.43,2.39,2.69,0.64
425,0.68,0.61,0.6,1.58,0.63,2.17,2.41,2.56,2.61,0.64
426,0.65,0.57,0.62,1.93,0.58,2.16,2.4,2.47,2.56,0.63
427,0.67,0.6,0.63,1.67,0.61,2.21,2.48,2.43,2.52,0.61
428,0.67,0.61,0.6,1.61,0.62,2.1,2.4,2.43,2.52,0.64
429,0.66,0.57,0.62,1.78,0.61,2.1,2.43,2.45,2.51,0.65
430,0.66,0.6,0.62,1.92,0.63,2.06,2.46,2.43,2.52,0.65
431,0.67,0.61,0.59,1.73,0.63,2.19,2.47,2.52,2.52,0.65
432,0.67,0.59,0.62,1.63,0.61,2.3,2.39,2.39,2.59,0.65
433,0.66,0.61,0.61,1.99,0.61,2.06,2.34,2.39,2.46,0.64
434,0.67,0.61,0.61,1.65,0.62,2.09,2.32,2.36,2.43,0.63
435,0.67,0.57,0.62,1.58,0.58,2.14,2.27,2.33,2.38,0.64
436,0.65,0.6,0.57,1.73,0.62,2.04,2.29,2.37,2.43,0.65
437,0.66,0.62,0.61,2.03,0.63,2.03,2.36,2.47,2.33,0.65
438,0.67,0.6,0.6,1.74,0.61,2.09,2.36,2.43,2.3,0.64
439,0.68,0.6,0.62,1.58,0.61,2.08,2.48,2.55,2.32,0.64
440,0.66,0.61,0.6,2.05,0.62,2.11,2.4,2.41,2.35,0.63
441,0.67,0.52,0.6,1.69,0.6,2.02,2.49,2.51,2.43,0.61
442,0.67,0.61,0.6,1.54,0.62,2.04,2.42,2.38,2.33,0.64
443,0.66,0.6,0.62,1.6,0.62,2.02,2.51,2.38,2.26,0.65
444,0.64,0.6,0.6,2.09,0.6,2.02,2.36,2.35,2.38,0.65
445,0.67,0.61,0.6,1.85,0.62,2.02,2.3,2.32,2.11,0.65
446,0.67,0.6,0.6,1.67,0.62,2,2.4,2.36,2,0.65
447,0.66,0.61,0.62,1.73,0.62,2.11,2.35,2.46,1.99,0.65
448,0.67,0.6,0.6,1.81,0.63,2.07,2.38,2.43,1.94,0.63
449,0.67,0.58,0.6,1.69,0.61,2.06,2.39,2.42,1.74,0.63
450,0.65,0.61,0.59,1.57,0.61,2.15,2.43,2.4,1.77,0.64
451,0.66,0.6,0.61,1.59,0.62,1.96,2.41,2.38,1.54,0.65
452,0.67,0.57,0.59,1.63,0.6,2.07,2.4,2.38,1.4,0.65
453,0.67,0.6,0.55,1.79,0.63,2.01,2.48,2.34,1.35,0.64
454,0.65,0.6,0.59,1.87,0.62,1.91,2.4,2.3,1.32,0.63
455,0.67,0.58,0.58,1.67,0.6,2.18,2.43,2.48,1.27,0.62
456,0.66,0.61,0.57,1.54,0.62,2.02,2.46,2.54,1.23,0.6
457,0.65,0.59,0.59,2.08,0.62,1.98,2.47,2.43,1.17,0.63
458,0.67,0.58,0.58,1.76,0.61,1.95,2.34,2.41,1.09,0.65
459,0.68,0.61,0.58,1.5,0.63,1.99,2.34,2.39,0.96,0.65
460,0.67,0.6,0.55,1.59,0.61,2.16,2.46,2.36,0.83,0.65
461,0.65,0.57,0.59,1.76,0.6,1.87,2.39,2.44,1.09,0.65
462,0.67,0.6,0.59,1.88,0.62,2.2,2.42,2.33,1.44,0.65
463,0.66,0.6,0.57,1.75,0.59,1.98,2.51,2.27,1.57,0.63
464,0.65,0.58,0.58,1.74,0.62,2.17,2.42,2.32,0.81,0.61
465,0.67,0.61,0.6,1.86,0.62,1.88,2.41,2.4,1.06,0.65
466,0.68,0.59,0.59,1.59,0.62,2.08,2.4,2.43,1.2,0.65
467,0.66,0.57,0.56,1.62,0.61,1.87,2.37,2.43,1.56,0.65
468,0.67,0.61,0.59,1.83,0.62,1.99,2.41,2.43,0.9,0.64
469,0.67,0.6,0.59,1.98,0.61,1.88,2.44,2.36,0.65,0.63
470,0.65,0.57,0.6,1.75,0.63,2.07,2.37,2.36,0.65,0.62
471,0.67,0.6,0.59,1.76,0.62,1.89,2.38,2.34,1.19,0.6
472,0.67,0.6,0.59,1.86,0.58,1.99,2.43,2.27,0.65,0.61
473,0.67,0.59,0.59,1.62,0.61,1.83,2.38,2.3,0.65,0.65
474,0.65,0.61,0.6,1.68,0.62,2.04,2.41,2.38,1.17,0.65
475,0.67,0.6,0.6,1.82,0.59,1.82,2.41,2.45,1.59,0.65
476,0.66,0.59,0.58,1.87,0.62,2.01,2.39,2.46,0.65,0.65
477,0.65,0.61,0.6,1.7,0.63,1.82,2.39,2.44,0.66,0.65
478,0.67,0.6,0.59,1.79,0.58,2.17,2.35,2.38,1.11,0.64
479,0.68,0.59,0.57,1.85,0.61,1.9,2.36,2.47,0.65,0.61
480,0.67,0.6,0.6,1.57,0.62,2.14,2.46,2.35,0.65,0.64
481,0.66,0.6,0.58,1.69,0.6,1.81,2.39,2.29,1.17,0.65
482,0.67,0.6,0.59,2.1,0.63,2.16,2.42,2.3,1.06,0.65
483,0.66,0.6,0.61,1.82,0.62,1.89,2.41,2.46,0.65,0.64
484,0.65,0.6,0.56,1.68,0.59,2.13,2.38,2.47,0.65,0.64
485,0.67,0.6,0.59,2.1,0.61,1.82,2.39,2.53,1.3,0.63
486,0.67,0.6,0.6,1.7,0.62,2.22,2.39,2.46,0.65,0.61
487,0.67,0.61,0.58,1.59,0.61,1.96,2.37,2.47,0.64,0.64
488,0.65,0.6,0.6,1.77,0.63,2.17,2.36,2.42,1.42,0.65
489,0.67,0.56,0.6,2.05,0.62,1.82,2.37,2.4,0.65,0.65
490,0.66,0.6,0.57,1.77,0.6,2.17,2.36,2.37,0.66,0.65
491,0.64,0.61,0.59,2.07,0.62,1.91,2.5,2.36,0.64,0.65
492,0.67,0.57,0.6,1.83,0.61,2.13,2.43,2.32,0.65,0.65
493,0.67,0.6,0.58,1.82,0.62,1.86,2.37,2.34,0.65,0.64
494,0.67,0.6,0.55,2.17,0.62,2.18,2.4,2.43,1.19,0.63
495,0.65,0.59,0.59,1.88,0.62,1.91,2.39,2.5,0.84,0.62
496,0.67,0.58,0.59,1.87,0.6,2.02,2.4,2.6,0.65,0.65
497,0.66,0.61,0.58,1.87,0.62,1.93,2.37,2.54,0.65,0.65
498,0.66,0.59,0.59,1.69,0.61,2,2.38,2.54,1.38,0.64
499,0.67,0.59,0.59,1.93,0.62,1.89,2.38,2.54,0.65,0.64
500,0.68,0.61,0.59,2,0.63,1.92,2.36,2.51,0.96,0.63
